FIPS,jurisdiction_name,state_name_abbreviation,e2016_votediff,voters_removed_total,e2016_rep_winner,e2016_dem_winner,e2016_rep_vote,e2016_dem_vote,total_registered_voters
17195,WHITESIDE COUNTY,IL,1580,5803,1,0,12615,11035,39657
26121,MUSKEGON COUNTY,MI,1177,5691,0,1,36127,37304,129496
37195,WILSON COUNTY,NC,2132,5673,0,1,17531,19663,56707
13179,LIBERTY COUNTY,GA,3422,5560,0,1,6134,9556,36224
42049,ERIE COUNTY,PA,1957,5534,1,0,60069,58112,191910
42069,LACKAWANNA COUNTY,PA,3599,5528,0,1,48384,51983,143610
37037,CHATHAM COUNTY,NC,3960,5524,0,1,17105,21065,54251
51630,FREDERICKSBURG CITY,VA,2963,5514,0,1,3744,6707,18036
22097,ST. LANDRY PARISH,LA,4762,5356,1,0,21971,17209,60045
36027,DUTCHESS COUNTY,NY,464,5289,0,1,61797,62261,199344
28035,FORREST COUNTY,MS,3745,5226,1,0,15461,11716,51072
53007,CHELAN COUNTY,WA,5082,5173,1,0,18114,13032,48483
36091,SARATOGA COUNTY,NY,3662,5071,1,0,54575,50913,162883
53037,KITTITAS COUNTY,WA,2611,4969,1,0,10100,7489,28669
17127,MASSAC COUNTY,IL,3288,4948,1,0,4846,1558,11107
18077,JEFFERSON COUNTY,IN,4220,4934,1,0,8546,4326,21130
54061,MONONGALIA COUNTY,WV,3733,4881,1,0,18432,14699,68863
28011,BOLIVAR COUNTY,MS,4456,4820,0,1,4590,9046,23627
51830,WILLIAMSBURG CITY,VA,3281,4720,0,1,1925,5206,10861
24045,WICOMICO COUNTY,MD,4148,4701,1,0,22198,18050,61443
37069,FRANKLIN COUNTY,NC,3494,4678,1,0,16368,12874,44916
41071,YAMHILL COUNTY,OR,3949,4663,1,0,23250,19301,67652
19163,SCOTT COUNTY,IA,1291,4660,0,1,39149,40440,128308
18041,FAYETTE COUNTY,IN,4587,4658,1,0,6839,2252,15502
45031,DARLINGTON COUNTY,SC,1101,4636,1,0,14989,13888,47407
53045,MASON COUNTY,WA,1684,4600,1,0,13677,11993,42851
37093,HOKE COUNTY,NC,1966,4591,0,1,7760,9726,33126
45043,GEORGETOWN COUNTY,SC,4079,4591,1,0,17389,13310,48440
18181,WHITE COUNTY,IN,4303,4541,1,0,6893,2590,15936
39043,ERIE,OH,3591,4516,1,0,19648,16057,54213
51149,PRINCE GEORGE COUNTY,VA,2738,4484,1,0,9157,6419,23013
53071,WALLA WALLA COUNTY,WA,3957,4463,1,0,13651,9694,38354
27027,CLAY COUNTY,MN,572,4381,1,0,13543,12971,34356
18117,ORANGE COUNTY,IN,3755,4353,1,0,5803,2048,13425
37099,JACKSON COUNTY,NC,2157,4256,1,0,9870,7713,29358
37107,LENOIR COUNTY,NC,979,4252,1,0,13613,12634,38791
51590,DANVILLE CITY,VA,3756,4196,0,1,7303,11059,27935
18149,STARKE COUNTY,IN,3878,4193,1,0,6367,2489,16607
13275,THOMAS COUNTY,GA,4086,4115,1,0,11228,7142,30120
22061,LINCOLN PARISH,LA,3654,3817,1,0,10761,7107,27117
36089,ST. LAWRENCE COUNTY,NY,3454,3813,1,0,19942,16488,65404
28149,WARREN COUNTY,MS,483,3790,1,0,9767,9284,31939
27013,BLUE EARTH COUNTY,MN,1239,3757,1,0,15667,14428,38713
27131,RICE COUNTY,MN,992,3747,1,0,15429,14437,38169
53039,KLICKITAT COUNTY,WA,1595,3718,1,0,5789,4194,15725
48465,VAL VERDE COUNTY,TX,1074,3712,0,1,5890,6964,27972
51840,WINCHESTER CITY,VA,374,3702,0,1,4790,5164,16533
27169,WINONA COUNTY,MN,756,3689,1,0,12122,11366,29402
16065,MADISON COUNTY,ID,3395,3648,1,0,8941,1201,20036
20099,LABETTE COUNTY,KS,3044,3563,1,0,5335,2291,13567
41053,POLK COUNTY,OR,2520,3553,1,0,18940,16420,56030
51790,STAUNTON CITY,VA,200,3525,0,1,5133,5333,16446
17201,WINNEBAGO COUNTY,IL,89,3464,0,1,55624,55713,98585
28079,LEAKE COUNTY,MS,1198,3463,1,0,4782,3584,14920
51670,HOPEWELL CITY,VA,839,3426,0,1,3885,4724,14529
26045,EATON COUNTY,MI,2671,3418,1,0,27609,24938,81911
41041,LINCOLN COUNTY,OR,2462,3404,0,1,10039,12501,35255
51001,ACCOMACK COUNTY,VA,1843,3395,1,0,8583,6740,23646
28071,LAFAYETTE COUNTY,MS,2903,3390,1,0,10872,7969,34407
37139,PASQUOTANK COUNTY,NC,435,3377,0,1,8180,8615,29314
37077,GRANVILLE COUNTY,NC,682,3368,1,0,13591,12909,39262
51775,SALEM CITY,VA,3024,3360,1,0,7226,4202,17029
20161,RILEY COUNTY,KS,766,3320,1,0,10107,9341,35969
28113,PIKE COUNTY,MS,34,3280,0,1,8009,8043,25826
37105,LEE COUNTY,NC,3243,3272,1,0,13712,10469,37068
18013,BROWN COUNTY,IN,2498,3252,1,0,5016,2518,11888
37153,RICHMOND COUNTY,NC,1882,3188,1,0,10383,8501,30465
16057,LATAH COUNTY,ID,828,3183,0,1,7265,8093,25440
17103,LEE COUNTY,IL,3084,3182,1,0,8612,5528,22703
48055,CALDWELL COUNTY,TX,1896,3179,1,0,6691,4795,23848
51117,MECKLENBURG COUNTY,VA,2003,3178,1,0,8288,6285,21585
30049,LEWIS AND CLARK COUNTY,MT,2417,3139,1,0,16895,14478,47093
