FIPS,jurisdiction_name,state_name_abbreviation,e2016_votediff,voters_removed_total,e2016_rep_winner,e2016_dem_winner,e2016_rep_vote,e2016_dem_vote,total_registered_voters
19045,CLINTON COUNTY,IA,1181,1322,1,0,11276,10095,33460
51131,NORTHAMPTON COUNTY,VA,569,1321,0,1,2686,3255,9010
45011,BARNWELL COUNTY,SC,489,1307,1,0,4889,4400,14821
24039,SOMERSET COUNTY,MD,1145,1297,1,0,5341,4196,13161
51029,BUCKINGHAM COUNTY,VA,822,1289,1,0,3950,3128,10317
28029,COPIAH COUNTY,MS,638,1273,0,1,6103,6741,20546
53019,FERRY COUNTY,WA,1104,1256,1,0,2202,1098,4973
13251,SCREVEN COUNTY,GA,1005,1241,1,0,3305,2300,9118
37079,GREENE COUNTY,NC,769,1224,1,0,4374,3605,11550
51183,SUSSEX COUNTY,VA,824,1211,0,1,2055,2879,6994
51049,CUMBERLAND COUNTY,VA,661,1196,1,0,2697,2036,6892
51620,FRANKLIN CITY,VA,1098,1190,0,1,1421,2519,5690
26089,LEELANAU COUNTY,MI,465,1185,1,0,7239,6774,20150
51081,GREENSVILLE COUNTY,VA,821,1161,0,1,1737,2558,6368
51103,LANCASTER COUNTY,VA,654,1161,1,0,3523,2869,8629
51678,LEXINGTON CITY,VA,748,1147,0,1,766,1514,4018
22093,ST. JAMES PARISH,LA,962,1141,0,1,5456,6418,15716
13053,CHATTAHOOCHEE COUNTY,GA,157,1137,1,0,751,594,3967
48463,UVALDE COUNTY,TX,968,1126,1,0,4835,3867,16973
22013,BIENVILLE PARISH,LA,627,1119,1,0,3756,3129,9104
28061,JASPER COUNTY,MS,330,1105,0,1,4038,4368,11861
51111,LUNENBURG COUNTY,VA,977,1103,1,0,3204,2227,7861
28097,MONTGOMERY COUNTY,MS,703,1091,1,0,2818,2115,7221
37041,CHOWAN COUNTY,NC,1022,1089,1,0,4014,2992,10341
51057,ESSEX COUNTY,VA,115,1087,1,0,2657,2542,7653
48371,PECOS COUNTY,TX,914,1082,1,0,2468,1554,8223
17003,ALEXANDER COUNTY,IL,234,1065,1,0,1496,1262,5354
36031,ESSEX COUNTY,NY,196,1051,1,0,7958,7762,27389
24029,KENT COUNTY,MD,301,1044,1,0,4876,4575,13119
37103,JONES COUNTY,NC,909,1043,1,0,2974,2065,7327
45017,CALHOUN COUNTY,SC,214,1013,1,0,3787,3573,11435
28163,YAZOO COUNTY,MS,771,945,0,1,4598,5369,18991
22027,CLAIBORNE PARISH,LA,868,917,1,0,3585,2717,9028
13099,EARLY COUNTY,GA,384,915,1,0,2552,2168,7467
