FIPS,e2016_votediff,e2016_rep_winner,e2016_dem_winner,e2016_rep_vote,e2016_dem_vote
06005,4481,true,false,10485,6004
06007,3577,true,false,45144,41567
06009,5567,true,false,13511,7944
06011,890,true,false,3551,2661
06013,203331,false,true,115956,319287
06015,1649,true,false,5134,3485
06017,12843,true,false,49247,36404
06019,17292,false,true,124049,141341
06021,2723,true,false,5788,3065
06023,14827,false,true,18373,33200
06025,19963,false,true,12704,32667
06027,1093,true,false,4248,3155
06029,30895,true,false,129584,98689
06031,4476,true,false,18093,13617
06033,897,false,true,10599,11496
06035,5350,true,false,7574,2224
06037,1694621,false,true,769743,2464364
06039,6328,true,false,23357,17029
06041,86936,false,true,21771,108707
06043,2063,true,false,5185,3122
06045,11191,false,true,10888,22079
06047,8592,false,true,28725,37317
06049,1819,true,false,2696,877
06051,662,false,true,2111,2773
06053,54193,false,true,34895,89088
06055,21788,false,true,17411,39199
06057,2688,false,true,23365,26053
06059,102813,false,true,507148,609961
06061,21629,true,false,95138,73509
06063,1961,true,false,5420,3459
06065,40452,false,true,333243,373695
06067,136234,false,true,189789,326023
06069,4680,false,true,7841,12521
06071,69593,false,true,271240,340833
06073,257710,false,true,477766,735476
06075,307396,false,true,37688,345084
06077,32188,false,true,88936,121124
06079,10943,false,true,56164,67107
06081,179953,false,true,57929,237882
06083,50777,false,true,56365,107142
06085,366858,false,true,144826,511684
06087,72811,false,true,22438,95249
06089,29477,true,false,51778,22301
06091,447,true,false,1048,601
06093,4107,true,false,11341,7234
06095,50440,false,true,51920,102360
06097,109027,false,true,51408,160435
06099,3153,false,true,78494,81647
06101,5100,true,false,18176,13076
06103,8685,true,false,15494,6809
06105,598,true,false,2812,2214
06107,10714,true,false,58299,47585
06109,5428,true,false,14551,9123
06111,62079,false,true,132323,194402
06113,34013,false,true,20739,54752
06115,5260,true,false,13170,7910
08001,16476,false,true,80082,96558
08003,143,false,true,3046,3189
08005,42832,false,true,117053,159885
08007,1764,true,false,4264,2500
08009,1470,true,false,1753,283
08011,598,true,false,1188,590
08013,90938,false,true,41396,132334
08015,503,true,false,5391,4888
08017,793,true,false,925,132
08019,154,false,true,2575,2729
08021,143,true,false,1914,1771
08023,537,false,true,588,1125
08025,740,true,false,1079,339
08027,1264,true,false,2061,797
08029,7568,true,false,11655,4087
08031,181861,false,true,62690,244551
08033,702,true,false,944,242
08035,33916,true,false,102573,68657
08037,5109,false,true,8990,14099
08039,8571,true,false,11705,3134
08041,71218,true,false,179228,108010
08043,9825,true,false,15122,5297
08045,1861,true,false,13132,11271
08047,68,false,true,1566,1634
08049,1136,true,false,4494,3358
08051,1839,false,true,3289,5128
08053,142,true,false,339,197
08055,250,true,false,1883,1633
08057,458,true,false,629,171
08059,22599,false,true,138177,160776
08061,637,true,false,728,91
08063,2431,true,false,2967,536
08065,346,false,true,1270,1616
08067,2938,false,true,12587,15525
08069,9683,false,true,83430,93113
08071,1060,true,false,3710,2650
08073,1483,true,false,1892,409
08075,5431,true,false,7282,1851
08077,28050,true,false,49779,21729
08079,107,true,false,344,237
08081,4431,true,false,5305,874
08083,3880,true,false,7853,3973
08085,8916,true,false,14382,5466
08087,4994,true,false,8145,3151
08089,1985,true,false,4928,2943
08091,346,false,true,1351,1697
08093,2714,true,false,6135,3421
08095,1355,true,false,1791,436
08097,4783,false,true,2550,7333
08099,2345,true,false,3531,1186
08101,390,true,false,36265,35875
08103,2355,true,false,2791,436
08105,1084,true,false,3085,2001
08107,2370,false,true,5230,7600
08109,270,false,true,1147,1417
08111,50,false,true,215,265
08113,1942,false,true,1033,2975
08115,748,true,false,1015,267
08117,4457,false,true,5100,9557
08119,6142,true,false,9745,3603
08121,2003,true,false,2299,296
08123,30132,true,false,76651,46519
08125,3124,true,false,3850,726
09001,83775,false,true,160077,243852
09003,92230,false,true,148173,240403
09005,13276,true,false,53051,39775
09007,6490,false,true,38867,45357
09009,46561,false,true,159048,205609
09011,8220,false,true,54058,62278
09013,4312,false,true,34194,38506
09015,3955,true,false,25747,21792
10001,3640,true,false,36991,33351
10003,77394,false,true,85525,162919
10005,23278,true,false,62611,39333
11001,267115,false,true,12723,282830
12001,28986,false,true,46834,75820
12003,8182,true,false,10294,2112
12005,40397,true,false,62194,21797
12007,5989,true,false,8913,2924
12009,62169,true,false,181848,119679
12011,292369,false,true,260951,553320
12013,3414,true,false,4655,1241
12015,26773,true,false,60218,33445
12017,31667,true,false,54456,22789
12019,47141,true,false,74963,27822
12021,44338,true,false,105423,61085
12023,12767,true,false,20368,7601
12027,2997,true,false,6778,3781
12029,4552,true,false,5822,1270
12031,5968,true,false,211672,205704
12033,31347,true,false,88808,57461
12035,11824,true,false,33850,22026
12037,2381,true,false,4125,1744
12039,8292,false,true,6728,15020
12041,5282,true,false,6740,1458
12043,1725,true,false,2996,1271
12045,3609,true,false,5329,1720
12047,1539,true,false,3443,1904
12049,3093,true,false,5242,2149
12051,1580,true,false,6195,4615
12053,27175,true,false,58970,31795
12055,14628,true,false,29565,14937
12057,41026,false,true,266870,307896
12059,6630,true,false,7483,853
12061,19577,true,false,48620,29043
12063,7860,true,false,14257,6397
12065,389,true,false,3930,3541
12067,2291,true,false,2809,518
12069,39350,true,false,102188,62838
12071,66643,true,false,191551,124908
12073,38247,false,true,53821,92068
12075,8674,true,false,13775,5101
12077,1892,true,false,2543,651
12079,1325,true,false,4851,3526
12081,30720,true,false,101944,71224
12083,45792,true,false,107833,62041
12085,23019,true,false,53204,30185
12086,290147,false,true,333999,624146
12087,2933,true,false,21904,18971
12089,23397,true,false,34266,10869
12091,48113,true,false,71893,23780
12093,5397,true,false,9356,3959
12095,134678,false,true,195216,329894
12097,35157,false,true,50301,85458
12099,102271,false,true,272402,374673
12101,51959,true,false,142101,90142
12103,5500,true,false,239201,233701
12105,39997,true,false,157430,117433
12107,12044,true,false,22138,10094
12109,45585,true,false,88684,43099
12111,3408,true,false,70289,66881
12113,46875,true,false,65339,18464
12115,26568,true,false,124438,97870
12117,3529,true,false,109443,105914
12119,30092,true,false,52730,22638
12121,10323,true,false,14287,3964
12123,4778,true,false,6930,2152
12125,3554,true,false,4568,1014
12127,33916,true,false,143007,109091
12129,6164,true,false,10512,4348
12131,18880,true,false,25756,6876
12133,6373,true,false,8637,2264
13001,4060,true,false,5494,1434
13003,1181,true,false,1878,697
13005,2756,true,false,3364,608
13007,125,true,false,775,650
13009,273,false,true,7697,7970
13011,5450,true,false,6134,684
13013,14528,true,false,21108,6580
13015,21699,true,false,29911,8212
13017,1638,true,false,3739,2101
13019,4375,true,false,5422,1047
13021,12744,false,true,24043,36787
13023,2618,true,false,3719,1101
13025,4948,true,false,5567,619
13027,1173,true,false,3701,2528
13029,6515,true,false,10529,4014
13031,5836,true,false,15097,9261
13033,240,false,true,4491,4731
13035,4151,true,false,6717,2566
13037,349,false,true,830,1179
13039,6380,true,false,12310,5930
13043,1638,true,false,2664,1026
13045,17565,true,false,30029,12464
13047,16105,true,false,20876,4771
13049,1947,true,false,2951,1004
13051,16602,false,true,45688,62290
13053,157,true,false,751,594
13055,4849,true,false,6462,1613
13057,55418,true,false,80649,25231
13059,16886,false,true,12717,29603
13061,131,false,true,566,697
13063,65575,false,true,12645,78220
13065,1041,true,false,1727,686
13067,7209,false,true,152912,160121
13069,5494,true,false,9588,4094
13071,6435,true,false,9898,3463
13073,24198,true,false,43085,18887
13075,2423,true,false,4176,1753
13077,25950,true,false,42533,16583
13079,2214,true,false,3635,1421
13081,1712,true,false,4549,2837
13083,4086,true,false,5051,965
13085,8452,true,false,9900,1448
13087,1896,true,false,6020,4124
13089,199902,false,true,51468,251370
13091,3182,true,false,5021,1839
13093,79,true,false,1951,1872
13095,13079,false,true,10232,23311
13097,6188,false,true,24817,31005
13099,384,true,false,2552,2168
13101,851,true,false,1007,156
13103,13021,true,false,17874,4853
13105,2753,true,false,5292,2539
13107,2900,true,false,5335,2435
13109,1274,true,false,2404,1130
13111,7709,true,false,9632,1923
13113,11764,true,false,35048,23284
13115,14955,true,false,24114,9159
13117,46389,true,false,69851,23462
13119,5811,true,false,7054,1243
13121,179268,false,true,117783,297051
