FIPSCode,Jurisdiction_Name,State_Abbr,A1a,A1b,A9a,A9b,A9c,A9d,A9e,A9f,A9g
17725,VILLAGE OF CRIVITZ - MARINETTE COUNTY,WI,567,567,108,31,16,3,57,0,1
17737,TOWN OF CROSS - BUFFALO COUNTY,WI,229,229,33,9,1,0,23,0,0
17775,VILLAGE OF CROSS PLAINS - DANE COUNTY,WI,2611,2611,323,116,28,2,176,0,0
17800,TOWN OF CROSS PLAINS - DANE COUNTY,WI,1091,1091,99,36,14,0,43,0,1
17850,TOWN OF CRYSTAL - WASHBURN COUNTY,WI,181,181,24,5,2,0,14,0,0
17875,TOWN OF CRYSTAL LAKE - BARRON COUNTY,WI,444,444,69,26,6,0,30,0,0
17900,TOWN OF CRYSTAL LAKE - MARQUETTE COUNTY,WI,346,346,49,8,10,1,24,0,0
17950,CITY OF CUBA CITY - MULTIPLE COUNTIES,WI,1143,1143,204,71,27,3,101,0,1
17975,CITY OF CUDAHY - MILWAUKEE COUNTY,WI,10767,10767,1670,203,309,15,1101,0,0
18025,CITY OF CUMBERLAND - BARRON COUNTY,WI,1260,1260,254,81,60,0,89,0,0
18050,TOWN OF CUMBERLAND - BARRON COUNTY,WI,528,528,62,14,8,1,39,0,0
18075,TOWN OF CURRAN - JACKSON COUNTY,WI,182,182,21,2,6,0,13,0,0
18125,VILLAGE OF CURTISS - CLARK COUNTY,WI,65,65,12,6,3,0,3,0,0
18225,TOWN OF CUTLER - JUNEAU COUNTY,WI,219,219,37,6,9,0,18,0,0
18300,TOWN OF CYLON - ST. CROIX COUNTY,WI,410,410,48,16,10,0,22,0,0
18425,TOWN OF DAIRYLAND - DOUGLAS COUNTY,WI,128,128,22,2,6,0,13,0,0
18475,TOWN OF DAKOTA - WAUSHARA COUNTY,WI,578,578,77,11,21,0,39,0,0
18525,TOWN OF DALE - OUTAGAMIE COUNTY,WI,1858,1858,173,56,5,4,106,0,0
18575,VILLAGE OF DALLAS - BARRON COUNTY,WI,189,189,50,17,12,0,21,0,0
18600,TOWN OF DALLAS - BARRON COUNTY,WI,311,311,33,8,5,0,20,0,0
18700,VILLAGE OF DANE - DANE COUNTY,WI,646,646,93,24,5,0,61,0,0
18725,TOWN OF DANE - DANE COUNTY,WI,609,609,53,11,11,1,26,0,0
18750,TOWN OF DANIELS - BURNETT COUNTY,WI,409,409,80,45,9,1,0,0,0
18825,VILLAGE OF DARIEN - WALWORTH COUNTY,WI,791,791,143,38,14,1,89,0,0
18850,TOWN OF DARIEN - WALWORTH COUNTY,WI,982,982,128,32,24,3,69,0,0
18875,CITY OF DARLINGTON - LAFAYETTE COUNTY,WI,1139,1139,173,60,44,1,68,0,0
18900,TOWN OF DARLINGTON - LAFAYETTE COUNTY,WI,554,554,63,26,11,1,25,0,0
18950,TOWN OF DAY - MARATHON COUNTY,WI,668,668,64,18,12,0,34,0,0
19000,TOWN OF DAYTON - RICHLAND COUNTY,WI,398,398,43,16,7,0,20,0,0
19025,TOWN OF DAYTON - WAUPACA COUNTY,WI,1762,1762,223,55,48,3,116,0,0
19075,TOWN OF DECATUR - GREEN COUNTY,WI,1091,1091,106,33,17,0,56,0,0
19200,TOWN OF DEER CREEK - OUTAGAMIE COUNTY,WI,317,317,39,16,6,0,15,0,0
19225,TOWN OF DEER CREEK - TAYLOR COUNTY,WI,375,375,37,1,5,0,30,0,0
19250,VILLAGE OF DEERFIELD - DANE COUNTY,WI,1516,1516,184,79,8,1,95,0,0
19275,TOWN OF DEERFIELD - DANE COUNTY,WI,1028,1028,104,30,10,0,63,0,0
19300,TOWN OF DEERFIELD - WAUSHARA COUNTY,WI,457,457,59,14,16,1,25,0,0
19325,VILLAGE OF DEER PARK - ST. CROIX COUNTY,WI,129,129,18,4,5,1,8,0,0
19350,VILLAGE OF DEFOREST - DANE COUNTY,WI,6056,6056,788,251,89,7,437,0,0
19375,TOWN OF DEKORRA - COLUMBIA COUNTY,WI,1671,1671,231,56,34,3,132,0,0
19400,CITY OF DELAFIELD - WAUKESHA COUNTY,WI,5081,5081,788,272,73,6,433,0,1
19425,TOWN OF DELAFIELD - WAUKESHA COUNTY,WI,6115,6115,708,248,54,7,396,0,2
19450,CITY OF DELAVAN - WALWORTH COUNTY,WI,3993,3993,775,221,103,8,412,0,0
19475,TOWN OF DELAVAN - WALWORTH COUNTY,WI,3149,3149,464,154,68,2,230,0,1
19550,TOWN OF DELLONA - SAUK COUNTY,WI,1079,1079,141,37,17,4,83,0,0
19575,TOWN OF DELL PRAIRIE - ADAMS COUNTY,WI,1014,1014,144,49,17,2,75,0,0
19625,TOWN OF DELMAR - CHIPPEWA COUNTY,WI,518,518,64,15,8,1,40,0,0
19662,TOWN OF DELTA - BAYFIELD COUNTY,WI,234,234,24,11,1,0,11,0,0
19675,TOWN OF DELTON - SAUK COUNTY,WI,1370,1370,173,52,19,0,101,0,0
19700,VILLAGE OF DENMARK - BROWN COUNTY,WI,1245,1245,186,62,34,1,84,0,0
19775,CITY OF DE PERE - BROWN COUNTY,WI,14880,14880,2527,821,220,15,1441,0,2
19850,VILLAGE OF DE SOTO - MULTIPLE COUNTIES,WI,200,200,16,6,4,0,5,0,0
19925,TOWN OF DEWEY - BURNETT COUNTY,WI,315,315,49,33,8,0,0,0,0
19975,TOWN OF DEWEY - PORTAGE COUNTY,WI,672,672,45,15,6,1,22,0,0
20000,TOWN OF DEWEY - RUSK COUNTY,WI,338,338,35,9,6,0,20,0,0
20025,TOWN OF DEWHURST - CLARK COUNTY,WI,233,233,32,13,5,0,14,0,0
20075,TOWN OF DEXTER - WOOD COUNTY,WI,222,222,16,4,4,0,8,0,0
20150,TOWN OF DIAMOND BLUFF - PIERCE COUNTY,WI,314,314,35,14,1,1,18,0,0
20175,VILLAGE OF DICKEYVILLE - GRANT COUNTY,WI,610,610,94,61,12,1,20,0,0
20300,TOWN OF DODGE - TREMPEALEAU COUNTY,WI,266,266,35,11,5,0,16,0,0
20350,CITY OF DODGEVILLE - IOWA COUNTY,WI,2736,2736,421,156,69,3,192,0,0
20375,TOWN OF DODGEVILLE - IOWA COUNTY,WI,1051,1051,93,30,16,1,46,0,0
20450,VILLAGE OF DORCHESTER - MULTIPLE COUNTIES,WI,347,347,56,22,6,2,26,0,0
20475,TOWN OF DOTY - OCONTO COUNTY,WI,244,244,26,2,9,0,15,0,0
20525,TOWN OF DOUGLAS - MARQUETTE COUNTY,WI,528,528,82,25,16,2,38,0,0
20550,VILLAGE OF DOUSMAN - WAUKESHA COUNTY,WI,1499,1499,276,83,55,1,136,0,0
20575,TOWN OF DOVER - BUFFALO COUNTY,WI,268,268,33,10,1,0,17,0,0
20625,TOWN OF DOVER - RACINE COUNTY,WI,2319,2319,332,98,64,5,164,0,0
20650,TOWN OF DOVRE - BARRON COUNTY,WI,424,424,62,16,13,0,33,0,0
20675,VILLAGE OF DOWNING - DUNN COUNTY,WI,132,132,22,14,0,0,5,0,0
20750,TOWN OF DOYLE - BARRON COUNTY,WI,329,329,34,12,9,1,12,0,0
20775,VILLAGE OF DOYLESTOWN - COLUMBIA COUNTY,WI,168,168,17,4,4,0,9,0,0
20800,TOWN OF DRAMMEN - EAU CLAIRE COUNTY,WI,481,481,50,22,8,0,20,0,0
20825,TOWN OF DRAPER - SAWYER COUNTY,WI,171,171,22,7,7,0,8,0,0
20850,VILLAGE OF DRESSER - POLK COUNTY,WI,483,483,108,48,3,1,56,0,0
20887,TOWN OF DRUMMOND - BAYFIELD COUNTY,WI,373,373,57,12,15,1,29,0,0
21000,TOWN OF DUNBAR - MARINETTE COUNTY,WI,358,358,376,31,11,0,297,0,1
21100,TOWN OF DUNKIRK - DANE COUNTY,WI,1368,1368,116,30,20,4,37,0,0
21125,TOWN OF DUNN - DANE COUNTY,WI,3643,3643,376,107,62,4,200,0,0
21150,TOWN OF DUNN - DUNN COUNTY,WI,862,862,133,37,22,1,73,0,0
21200,TOWN OF DUPONT - WAUPACA COUNTY,WI,374,374,51,7,14,1,29,0,0
21225,CITY OF DURAND - PEPIN COUNTY,WI,995,995,171,59,48,2,42,0,0
21250,TOWN OF DURAND - PEPIN COUNTY,WI,403,403,41,8,8,1,24,0,0
21400,TOWN OF EAGLE - RICHLAND COUNTY,WI,269,269,38,17,9,1,10,0,0
21425,VILLAGE OF EAGLE - WAUKESHA COUNTY,WI,1305,1305,125,43,10,0,70,0,0
21450,TOWN OF EAGLE - WAUKESHA COUNTY,WI,2495,2495,234,68,22,2,142,0,0
21600,TOWN OF EAGLE POINT - CHIPPEWA COUNTY,WI,2121,2121,232,59,43,1,106,0,0
21625,CITY OF EAGLE RIVER - VILAS COUNTY,WI,867,867,177,58,37,0,80,0,0
21900,VILLAGE OF EASTMAN - CRAWFORD COUNTY,WI,208,208,30,7,8,0,15,0,0
21925,TOWN OF EASTMAN - CRAWFORD COUNTY,WI,463,463,40,5,8,0,25,0,0
22000,TOWN OF EASTON - ADAMS COUNTY,WI,602,602,90,20,20,0,50,0,0
22025,TOWN OF EASTON - MARATHON COUNTY,WI,769,769,62,25,10,0,27,0,0
22100,VILLAGE OF EAST TROY - WALWORTH COUNTY,WI,2726,2726,421,170,57,6,184,0,0
22125,TOWN OF EAST TROY - WALWORTH COUNTY,WI,2760,2760,311,104,52,5,146,0,0
22225,TOWN OF EATON - BROWN COUNTY,WI,1039,1039,76,21,13,1,41,0,0
22250,TOWN OF EATON - CLARK COUNTY,WI,279,279,25,8,7,1,9,0,0
22275,TOWN OF EATON - MANITOWOC COUNTY,WI,541,541,60,14,11,0,35,0,0
22300,CITY OF EAU CLAIRE - MULTIPLE COUNTIES,WI,40732,40732,9831,4097,837,61,4664,2,5
22375,TOWN OF EAU GALLE - DUNN COUNTY,WI,488,488,80,15,10,1,42,0,0
22400,TOWN OF EAU GALLE - ST. CROIX COUNTY,WI,755,755,86,15,4,0,66,0,0
22425,TOWN OF EAU PLEINE - MARATHON COUNTY,WI,437,437,49,13,10,0,24,0,0
22450,TOWN OF EAU PLEINE - PORTAGE COUNTY,WI,657,657,62,24,8,1,29,0,0
22475,VILLAGE OF EDEN - FOND DU LAC COUNTY,WI,451,451,69,19,11,0,37,0,0
22500,TOWN OF EDEN - FOND DU LAC COUNTY,WI,689,689,61,15,21,2,23,0,0
22525,TOWN OF EDEN - IOWA COUNTY,WI,225,225,19,11,3,0,5,0,0
22550,VILLAGE OF EDGAR - MARATHON COUNTY,WI,822,822,112,35,7,1,66,0,0
22575,CITY OF EDGERTON - MULTIPLE COUNTIES,WI,3299,3299,577,215,91,7,235,0,1
22625,TOWN OF EDGEWATER - SAWYER COUNTY,WI,392,392,47,7,9,0,31,0,0
22750,TOWN OF EDSON - CHIPPEWA COUNTY,WI,499,499,57,14,7,0,35,0,0
22850,VILLAGE OF EGG HARBOR - DOOR COUNTY,WI,252,252,28,3,5,0,20,0,0
22875,TOWN OF EGG HARBOR - DOOR COUNTY,WI,1071,1071,109,23,28,0,58,0,0
22925,TOWN OF EILEEN - BAYFIELD COUNTY,WI,475,475,43,13,6,0,12,0,0
22950,TOWN OF EISENSTEIN - PRICE COUNTY,WI,411,411,48,13,8,0,27,0,0
22975,VILLAGE OF ELAND - SHAWANO COUNTY,WI,136,136,16,5,6,0,5,0,0
23000,TOWN OF ELBA - DODGE COUNTY,WI,684,684,65,22,14,0,29,0,0
